answer_id,task_type,prompt,learner_response,expected_mastery,notes
ca001,self_explain_formal,"Explain the definition of compactness in your own words.","A set K is compact if every open cover of K has a finite subcover. That is, for any collection of open sets covering K, we can find finitely many that still cover K.",solid,Complete correct answer with all required terms
ca002,self_explain_formal,"Explain the definition of compactness in your own words.","compact는 닫히고 유계인 집합이다.",partial,Heine-Borel shortcut only — correct for R^n but not the definition
ca003,self_explain_formal,"Explain the definition of compactness in your own words.","옹골성은 위상수학에서 중요한 성질이다.",unknown,Vague non-answer with no mathematical content
ca004,self_explain_formal,"Explain the definition of compactness in your own words.","모든 열린 덮개에 대해 유한 부분덮개가 존재하면 compact 집합이다. 거리 공간에서 정의된다.",solid,Correct definition in Korean
ca005,self_explain_formal,"Explain the definition of compactness in your own words.","compact는 유한 부분덮개와 관련된 개념이다.",partial,Mentions finite subcover but missing open cover and completeness
ca006,mapping_formal_to_counterexample,"Using the formal definition explain why (0 1) is not compact.","(0,1)은 닫혀 있지 않아서 compact하지 않습니다.",unknown,"Failed mapping — uses closedness not open cover. Misconception: missing_open_cover_argument, misuses_heine_borel"
ca007,mapping_formal_to_counterexample,"Using the formal definition explain why (0 1) is not compact.","열린 덮개 {(1/n, 1) : n=2,3,...}를 잡으면, 각 점 x에 대해 n > 1/x인 구간이 존재한다. 하지만 유한 개를 택하면 N=max(n_i)로 놓을 때 1/(N+1)이 덮이지 않으므로 유한 부분덮개가 불가능하다.",solid,Correct open cover argument with all required terms
ca008,mapping_formal_to_counterexample,"Using the formal definition explain why (0 1) is not compact.","(0,1)은 유계이지만 닫혀 있지 않다. Heine-Borel에 의해 compact가 아니다.",partial,"Uses Heine-Borel shortcut, not the open cover definition as asked"
ca009,mapping_formal_to_counterexample,"Using the formal definition explain why (0 1) is not compact.","",unknown,Empty answer
ca010,mapping_counterexample_to_formal,"From (0 1) not being compact derive properties of compact sets.","compact 집합은 유계이고 닫혀야 한다.",partial,Correct for R but not the general definition
ca011,mapping_counterexample_to_formal,"From (0 1) not being compact derive properties of compact sets.","(0,1)의 반례에서 알 수 있듯이, compact 집합은 모든 열린 덮개에 대해 유한 부분덮개를 가져야 한다. R에서는 닫히고 유계여야 한다.",solid,Correctly connects counterexample to definition and Heine-Borel
ca012,mapping_counterexample_to_formal,"From (0 1) not being compact derive properties of compact sets.","잘 모르겠습니다.",unknown,No content
ca013,mapping_formal_counterexample_to_proof_schema,"Outline the Heine-Borel proof structure using definition and (0 1).","Heine-Borel: compact iff closed and bounded in R^n. (→) compact이면 closed: 극한점 논증. compact이면 bounded: B(0,n)으로 덮어 유한 부분덮개 추출. (←) closed and bounded이면 compact: nested intervals로 bisection하여 증명.",solid,Complete proof outline with both directions
ca014,mapping_formal_counterexample_to_proof_schema,"Outline the Heine-Borel proof structure using definition and (0 1).","Heine-Borel은 closed and bounded면 compact라는 정리인데, 증명은 잘 기억이 안 난다.",partial,Knows the theorem but not the proof structure
ca015,mapping_formal_counterexample_to_proof_schema,"Outline the Heine-Borel proof structure using definition and (0 1).","compact면 closed이다. 그리고 bounded이다. 반대 방향은 모르겠다.",partial,Knows one direction only
ca016,self_explain_proof_schema,"Explain the proof structure of Heine-Borel.","Heine-Borel: closed and bounded implies compact in R^n. 증명은 Bolzano-Weierstrass를 사용하여 nested intervals 논증을 한다. 열린 덮개를 잡고, 구간을 이등분하면서 유한 부분덮개가 불가능한 쪽을 택한다.",solid,Correct proof sketch
ca017,self_explain_proof_schema,"Explain the proof structure of Heine-Borel.","Heine-Borel은 R에서 compact iff closed and bounded. 증명은 Bolzano-Weierstrass 사용.",partial,Knows theorem and key tool but not proof steps
ca018,recall,"Explain compactness from memory.","compact란 닫히고 유계인 것이다. 증명은 모르겠다.",unknown,Minimal recall — Heine-Borel only
ca019,recall,"Explain compactness from memory.","compact 집합은 모든 open cover에 대해 finite subcover가 존재하는 집합이다. R^n에서는 Heine-Borel에 의해 closed and bounded와 동치이다. 반례로 (0,1)은 bounded이지만 closed가 아니라서 compact가 아니다.",solid,Strong recall with definition and counterexample
ca020,recall,"Explain compactness from memory.","compact... 유한... 뭔가 덮개 관련... 잘 모르겠다.",unknown,Fragmented recall
ca021,self_explain_formal,"Explain the definition of compactness in your own words.","모든 유계 집합은 compact이다. open cover는 항상 finite subcover를 가진다.",unknown,"Contains bounded_implies_compact misconception despite mentioning open cover terms"
ca022,mapping_formal_to_counterexample,"Using the formal definition explain why (0 1) is not compact.","(0,1)의 부분집합은 모두 compact가 아니다. compact 집합의 부분집합은 compact이므로 (0,1)도 compact가 아니다.",unknown,"Circular reasoning with subset_of_compact_is_compact misconception"
ca023,self_explain_formal,"Explain the definition of compactness in your own words.","A set is compact if it is sequentially compact, meaning every sequence has a convergent subsequence. This is equivalent to the open cover definition in metric spaces.",partial,"Correct equivalence but defines via sequential compactness, not open covers"
ca024,mapping_formal_to_counterexample,"Using the formal definition explain why (0 1) is not compact.","(0,1)은 open이므로 compact가 아니다. closed set만 compact가 될 수 있다.",unknown,"closed_implies_compact misconception (reversed logic)"
ca025,recall,"Explain compactness from memory.","Compact set: every open cover has a finite subcover. In R^n, equivalent to closed and bounded (Heine-Borel). Counterexample: (0,1) — cover by (1/n,1), no finite subcover. Proof of Heine-Borel uses nested intervals / bisection. Key misconception: bounded alone is not sufficient.",solid,Comprehensive recall
